id,active,status,moderation_status,category_id,title_fa,description,brand_id,created_at
10361885,1,marketable,approved,156,ساعت دیواری مدوپد طرح فرش مدل C-Heris26,"ساعت مدوپد، علاوه بر موتور مارشال بادوامی که به تکنولوژی آرامگرد مجهز است و کسی صدای تیک و تاک عقربه‌های ساعت را نمی‌شنود، ساعتی است که مُدوپُد آن را طراحی کرده مناسب هر خانه و شغلی است حتی کسانی که خواب سبکی دارند می‌توانند آن را در اتاق خوابشان نصب کنند بدون اینکه خاطر‌شان آزرده شود. 
",20639,2023-01-05 20:47:29.0000000
10798969,1,marketable,approved,77,برچسب پوششی ماهوت مدل Handball-FullSkin مناسب برای گوشی موبایل هوآوی Nova 3e,طرح ورزش هندبال از سری طرح های محصولات ماهوت. ورزش هندبال ابتدا در یونان شکل گرفت و رفته رفته به سایر نقاط جهان رسید. هندبال یک ورزش تیمی است که هر تیم از هفت نفر تشکیل می شود و تمام بازی از جمله پاس کاری ها و گلزنی ها با دست انجام می شوند. در توضیح ساختار فنی فول اسکین طرح می‌توان گفت تصویر بر روی لایه اولِ برپوش، مستقیما با یک تکنیک منحصربفرد چاپ می‌شود. همچنین بخش چسبنده دارای تکنولوژی Bubble Free است که نصب را آسان و چسبندگی را حداکثر می‌کند و هیچ اثری از چسب، بر روی گوشی هوشمند باقی نمی‌گذارد. در لایه دوم یک ورق لمینت گرم، با دستگا‌ه‌های مخصوص در دمای بالا بر روی لایه اول اعمال می شود تا مقاومت در برابر مواد شیمیایی و خط و خش حداکثر شود. این محصول نوعي استيكر(برچسب) چندلايه است و به منظور پوشش تمامی وجوه گوشي هوشمند ساخته شده است و كناره‌هاي دستگاه را هم پوشش مي‌دهد.هدف استفاده از آن ايجاد طرح، رنگ و احساسي نو براي دستگاه هوشمند است، در حالي كه زبان طراحي و ظرافت گوشي هوشمند حفظ شود. لازم به ذکر است که فول اسکین با وجود چسبندگي بالا هيچي اثري از خود هنگام جدا شدن برجاي نمي‌گذارد. همچنین جنس فول اسکین از پليكربنات است و اين ماده تاثير قابل توجهي بر روي آنتن دهي و يا دفع حرارت گوشي هوشمند نخواهد داشت. نصب این محصول دشوار است و نیاز به دقت و تمرین دارد به همین منظور درون جعبه یک عدد فول اسکین آزمایشی برای تمرین نصب قرار دارد.,5288,2023-03-01 08:52:48.0000000
7709241,1,marketable,approved,8718,"وارنیش حرارتی مدل DT-100 مجموعه 100عددی ",وارنیش های حرارتی برای عایق بندی سیم و کابل به دور آنها انداخته میشود و بوسیله حرارت تا 50 درصد جمع میشوند و جایگزین مناسب برای لنت برق است و همچنین مناسب برای عایق کاری اتصالات و حفاظت مکانیکی اجسام (مانند لوله ها) جهت بهبود عملکرد آنها در برابر فرسودگی می باشد.بسته شامل 5 سایز(از سایز 1 تا 5) از هر کدام به اندازه 10 سانتی متر و هر سایز 20عدد در پنج رنگ میباشد.,719,2022-01-30 17:07:32.0000000
7162828,1,marketable,in_review,9711," کش مو بچگانه فانتزی مجموعه 20 عددی",,719,2021-11-24 04:13:53.0000000
9698050,1,marketable,approved,77,"کاور مدل گل سه بعدی مناسب برای گوشی موبایل اپل Iphone 12 Pro ",,719,2022-10-21 16:12:13.0000000
5481196,1,marketable,approved,77,برچسب پوششی ماهوت مدل White Wood-FullSkin مناسب برای گوشی موبایل هوآوی Y5 2019,این محصول برپوش طرح مدل چوب سفید (White Wood) از سری چوبها است که توسط دپارتمان طراحی ماهوت طراحی شده است.در توضیح ساختار فنی فول اسکین طرح می‌توان گفت تصویر بر روی لایه اولِ برپوش، مستقیما با یک تکنیک منحصربفرد چاپ می‌شود. همچنین بخش چسبنده دارای تکنولوژی Bubble Free است که نصب را آسان و چسبندگی را حداکثر می‌کند و هیچ اثری از چسب، بر روی گوشی هوشمند باقی نمی‌گذارد. در لایه دوم یک ورق لمینت گرم، با دستگا‌ه‌های مخصوص در دمای بالا بر روی لایه اول اعمال می شود تا مقاومت در برابر مواد شیمیایی و خط و خش حداکثر شود. این محصول نوعي استيكر(برچسب) چندلايه است و به منظور پوشش تمامی وجوه گوشي هوشمند ساخته شده است و كناره‌هاي دستگاه را هم پوشش مي‌دهد.هدف استفاده از آن ايجاد طرح، رنگ و احساسي نو براي دستگاه هوشمند است، در حالي كه زبان طراحي و ظرافت گوشي هوشمند حفظ شود. لازم به ذکر است که فول اسکین با وجود چسبندگي بالا هيچي اثري از خود هنگام جدا شدن برجاي نمي‌گذارد. همچنین جنس فول اسکین از پليكربنات است و اين ماده تاثير قابل توجهي بر روي آنتن دهي و يا دفع حرارت گوشي هوشمند نخواهد داشت. نصب این محصول دشوار است و نیاز به دقت و تمرین دارد به همین منظور درون جعبه یک عدد فول اسکین آزمایشی برای تمرین نصب قرار دارد.,5288,2021-06-16 02:45:52.0000000
8134391,1,marketable,approved,9294,پیراهن زنانه کد mek.h12,,719,2022-03-19 01:05:44.0000000
10416502,1,marketable,approved,77,برچسب پوششی ماهوت مدل Green Feather-FullSkin مناسب برای گوشی موبایل شیائومی Redmi Note 10 5G,طرح پر پرنده سبز از مجموعه طرح های محصولات ماهوت. پرهایی که ساختار کلی یک پوشش هستند و در یک مرکز به هم متصل شدند و پوشش بدن پرنده را تشکیل می دهند. این پوشش حس یکپارچگی و یکدستگی را به بیننده منتقل می دهد.در توضیح ساختار فنی فول اسکین طرح می‌توان گفت تصویر بر روی لایه اولِ برپوش، مستقیما با یک تکنیک منحصربفرد چاپ می‌شود. همچنین بخش چسبنده دارای تکنولوژی Bubble Free است که نصب را آسان و چسبندگی را حداکثر می‌کند و هیچ اثری از چسب، بر روی گوشی هوشمند باقی نمی‌گذارد. در لایه دوم یک ورق لمینت گرم، با دستگا‌ه‌های مخصوص در دمای بالا بر روی لایه اول اعمال می شود تا مقاومت در برابر مواد شیمیایی و خط و خش حداکثر شود. این محصول نوعي استيكر(برچسب) چندلايه است و به منظور پوشش تمامی وجوه گوشي هوشمند ساخته شده است و كناره‌هاي دستگاه را هم پوشش مي‌دهد.هدف استفاده از آن ايجاد طرح، رنگ و احساسي نو براي دستگاه هوشمند است، در حالي كه زبان طراحي و ظرافت گوشي هوشمند حفظ شود. لازم به ذکر است که فول اسکین با وجود چسبندگي بالا هيچي اثري از خود هنگام جدا شدن برجاي نمي‌گذارد. همچنین جنس فول اسکین از پليكربنات است و اين ماده تاثير قابل توجهي بر روي آنتن دهي و يا دفع حرارت گوشي هوشمند نخواهد داشت. نصب این محصول دشوار است و نیاز به دقت و تمرین دارد به همین منظور درون جعبه یک عدد فول اسکین آزمایشی برای تمرین نصب قرار دارد.,5288,2023-01-12 00:53:31.0000000
2906504,1,marketable,approved,6512,رنگ مو پروکسا سری Lighteners شماره 902 حجم 60 میلی لیتر رنگ روشن کننده بلوند صدفی,رنگ موی پروکسا ۶۰ میلی لیتری شامل ۱۱۰ رنگ جذاب و متنوع در ۲۵ گروه رنگی می باشد.رنگ موی پروکسا با دوام و ثبات بالا، درخشندگی، نرمی و لطافتی مناسب به مو می بخشد.این رنگ با فرمولاسیون ویژه و با غلظتی بالا بوده و از ویژگیهای آن استفاده از پروتئین گندم، ویتامین C و کراتین در فرمولاسیون رنگ مو می باشد.پروتئین گندم باعث تقویت و حالت پذیری مو می شود و ویتامین C نیز جریان خون را در پوست سر بهبود بخشیده و از دیواره مویرگهای خونی که خون را به فولیکول های مو می رسانند، حفاظت کرده و از ریزش مو جلوگیری می کند.وجود کراتین نیز موجب تقویت مو های آسیب دیده می شود.,13002,2020-06-01 13:04:38.0000000
2693398,1,marketable,approved,6490,"تابلو نقره ایشیل طرح گل آزالیا مدل F6 ","تابلو گل آزالیا مدل F6 تولید شده از ورق نقره با عیار 840، دارای بسته بندی مناسب می باشد. از آنجایی‌‌ که هر فضا، تزیینات خاص خود را می‌طلبد، معمولا برای دکوراسیون مدرن یا سنتی خانه یا محل کار، از تزییناتی با محتوای مناسب آن استفاده می‌کنیم. تابلو نقره گل آزالیا مدل F6 می‌تواند انتخابی مناسب برای تکمیل دکوراسیون خانه‌ و محل کار، و یا هدیه ای مناسب و ارزشمند برای افتتاح مطب، دفتر، شرکت و غیره باشد. ",719,2020-04-11 18:36:38.0000000
8633079,1,marketable,approved,10707,ماگ طرح یونیکورن کد 2953,,719,2022-05-30 10:45:55.0000000
6173594,1,marketable,approved,10707,ماگ طرح پینک فلوید,,719,2021-08-21 10:40:44.0000000
5403455,1,marketable,approved,76,محافظ صفحه نمایش مدل FLSP Pto مناسب برای گوشی موبایل شیائومی Redmi Note 10,"محافظ صفحه نمایش میتوبل مدل Super D از محصولات با کیفیتِ شرکت خوشنام میتوبل (Mietubl)  است که از تولیدکنندگان شناخته شده انواع گلس و محافظ در سطح جهان است. این گلس یک محافظ مرغوب از جنس شیشه تمپر شده با سختی بسیار بالا بوده و از ایجاد خط و خش روی صفحه یا شکستن صفحه نمایش گوشی شما در اثر ضربه جلو گیری می کند. وجود این محافظ صفحه نمایش تمام عملکردهای مختلف صفحه نمایش گوشی شما (همچون 3D Touch, Touch ID, Facial Recognition,…)  را حفظ می کند. همچنین با نصب این گلس شفافیت و وضوح تصاویر کاملا حفظ می شود. نصب این محافظ آسان بوده و شما میتوانید آن را بدون ایجاد حباب نصب کنید. این محافظ تمام چسب است و برخلاف محافظ های دور چسب، به تمامی قسمتهای صفحه نمایش بدون ایجاد حباب میچسبد. از دیگر ویژگی های مهم این صفحه نمایش می توان به پاک شدن سریع لکه چربی،‌ مقاومت در برابر خط وخش و وضوح بالای تصویر اشاره کرد.",719,2021-06-08 13:12:08.0000000
9426067,1,marketable,approved,9433,ساعت مچی عقربه ای زنانه کاسیو مدل SHE-3517D-2AUDF,,55,2022-09-10 16:53:05.0000000
12094754,1,marketable,approved,6724,کاسه مسی مدل سلجوقی کد 914,,719,2023-07-19 14:13:31.0000000
5512763,1,marketable,approved,76,محافظ صفحه نمایش سرامیکی یو دی مدل +PRO مناسب برای گوشی موبایل سامسونگ Galaxy A30,محافظ صفحه نمایش یو دی با برشی دقیق، لبه های گرد گوشی را کاملا پوشش می دهد و محافظت و زیبایی را در کنار هم برای شما فراهم می آورد. طراحی منحصر به فرد این محصول باعث شده تا بخش هایی مثل سنسورها عملکرد خوبی داشته باشند و محدودیتی از بابت استفاده این محافظ نداشته باشید. گلس یو دی به راحتی روی نمایشگر نصب می شود و پس از جداسازی نیز اثری از چسب روی نمایشگر باقی نخواهد ماند. لمس لبه های گرد این محصول حس خوبی را در شما ایجاد می کند. این گلس ضد خش باعث می شود تا شما بتوانید کیفیت اصلی صفحه نمایش خود را حفظ نمایید و نهایت لذت را از کار کردن با آن ببرید. این محافظ صفحه نمایش چربی گریز است و اثر انگشت شما را به خود جذب نمیکند. اگر به دنبال محصولی با کیفیت هستید خرید این محافظ صفحه نمایش را به شما پیشنهاد میکنیم.,719,2021-06-19 06:45:24.0000000
4944244,1,marketable,approved,76,محافظ صفحه نمایش زیرو مدل SAD-01 مناسب برای گوشی موبایل سامسونگ Galaxy A70s,,719,2021-04-19 11:28:55.0000000
1891447,1,marketable,approved,6367,جعبه چای کیسه ای مدل WDN,,719,2019-08-15 13:34:56.0000000
125477,1,marketable,approved,9529,ساعت مچی عقربه‌ای مردانه سیکو مدل SPC167P1,<p>کلاسیک، رسمی، اسپرت. سیکو تبدیل به یکی از متخصصین ادغام مفاهیم مختلف در جهان ساعت&zwnj;های مچی شده است. امروزه ساعت&zwnj;هایی که از سیکو در ذهن داریم فرسنگ&zwnj;ها با آنچه که از استودیوهای طراحی این شرکت پیشروی ژاپنی بیرون می&zwnj;آیند فاصله دارد. ساعت&zwnj;هایی مدرن با طرح&zwnj;هایی هیجان&zwnj;انگیز که ضربان قلب هر طرفدار ساعت مچی را به سادگی بالا می&zwnj;برد. ساعت مچی عقربه&zwnj;ای مردانه سیکو مدل SPC167P1یک ساعت تمام فلزی با ظاهری کلاسیک و رسمی اما قلبی تپنده و اسپرت است. بدنه&zwnj; و بند این ساعت صفحه گرد از استیل مقاوم و نقره&zwnj;ای رنگ ساخته شده که در کنار کریستال هاردلکس (کریستال ابداعی سیکو) محافظ صفحه و عقربه&zwnj;ها از آن مجموعه&zwnj;ای مقاوم در برابر ضربات و خش&zwnj;های احتمالی ساخته است. این ساعت مقاوم تا عمق ۱۰۰ متری از سطح آب هم&zwnj;سفر خوبی برای کاربر خود خواهد بود. روی صفحه&zwnj;ی سیاه&zwnj;رنگ این ساعت علاوه بر عقربه&zwnj;های اصلی، سه عقربه ی فرعی نیز تعبیه شده که وظیفه&zwnj;ی سنجش و ثبت فواصل زمانی را با دقتی بالا بر عهده دارند. سیکو از مرغوب&zwnj;ترین انواع استیل مقاوم برای ساخت ساعت&zwnj;هایش استفاده می&zwnj;کند. SPC167P1 نیز از این قاعده مستثنا نبوده و بندی از مرغوب&zwnj;ترین نوع استیل مقاوم ضد حساسیت برای آن در نظر گرفته شده است. تقویم به کار رفته در این ساعت تاریخ را به صورت شماره&zwnj;ی روز ماه به کاربر خود نشان می&zwnj;دهد. شرکت سیکو در سال ۱۸۸۱ توسط ساعت&zwnj;سازی به نام Kintaro Hattori تاسیس و نام سیکو برای اولین بار در سال 1924 با معرفی اولین ساعت مچی این شرکت به ثبت رسید. سیکو به عنوان رقیبی بسیار جدی برای ساعت&zwnj;های معروف سوییسی محسوب شده و جایگاه آن به عنوان یک ساعت&zwnj;ساز پیشرو به خوبی تثبیت شده است. سیکو که همواره به آخرین فناوری&zwnj;های روز مجهز است، افتخارات خود را روز به روز افزایش می&zwnj;دهد. بسیاری از اختراعات در زمینه&zwnj;ی ادوات زمان سنجی، محصول مراکز تحقیقاتی سیکو هستند: اولین ساعت کوارتز، اولین LCD از جنس کوارتز، ساعت&zwnj;هایی با تقویم صد ساله و نخستین ساعت عقربه&zwnj;ای هوشمند جهان همه از ابداعات سیکو هستند. در سال 1992 میلادی با معرفی فناوری کینتیک، سیکو گامی دیگر در پیشرفت ساعت&zwnj;های مچی برداشت: ساعت&zwnj;های آنالوگی که برای شارژ تنها به حرکت دست احتیاج داشتند. سیکو با تکیه بر تنوع محصولاتش قسمت بزرگی از بازار ساعت جهان را در دست دارد.</p>,1082,2016-02-04 12:29:33.0000000
4448081,1,marketable,approved,6307,مجسمه مدل CHOU GERARD,,719,2021-02-12 22:07:51.0000000
8618142,1,marketable,approved,77,کاور مگافون کد 6297 مناسب برای گوشی موبایل سامسونگ Galaxy A6 Plus 2018,,21763,2022-05-28 14:33:12.0000000
10766492,1,marketable,approved,77,برچسب پوششی ماهوت مدل Yellow Infantry Army-FullSkin مناسب برای گوشی موبایل شیائومی Redmi Note 8 Pro,طرح ارتش پیاده نظام زرد از مجموعه طرح های محصولات ماهوت. ترکیب رنگی و در هم تنیدگی رنگ ها در این طرح طوری تصور و ذهن را درگیر می کند که باعث می شود حس گرمی به بیننده منتقل شود.در توضیح ساختار فنی فول اسکین طرح می‌توان گفت تصویر بر روی لایه اولِ برپوش، مستقیما با یک تکنیک منحصربفرد چاپ می‌شود. همچنین بخش چسبنده دارای تکنولوژی Bubble Free است که نصب را آسان و چسبندگی را حداکثر می‌کند و هیچ اثری از چسب، بر روی گوشی هوشمند باقی نمی‌گذارد. در لایه دوم یک ورق لمینت گرم، با دستگا‌ه‌های مخصوص در دمای بالا بر روی لایه اول اعمال می شود تا مقاومت در برابر مواد شیمیایی و خط و خش حداکثر شود. این محصول نوعي استيكر(برچسب) چندلايه است و به منظور پوشش تمامی وجوه گوشي هوشمند ساخته شده است و كناره‌هاي دستگاه را هم پوشش مي‌دهد.هدف استفاده از آن ايجاد طرح، رنگ و احساسي نو براي دستگاه هوشمند است، در حالي كه زبان طراحي و ظرافت گوشي هوشمند حفظ شود. لازم به ذکر است که فول اسکین با وجود چسبندگي بالا هيچي اثري از خود هنگام جدا شدن برجاي نمي‌گذارد. همچنین جنس فول اسکین از پليكربنات است و اين ماده تاثير قابل توجهي بر روي آنتن دهي و يا دفع حرارت گوشي هوشمند نخواهد داشت. نصب این محصول دشوار است و نیاز به دقت و تمرین دارد به همین منظور درون جعبه یک عدد فول اسکین آزمایشی برای تمرین نصب قرار دارد.,5288,2023-02-26 00:26:52.0000000
3053316,1,marketable,in_review,8518,"سنسور اكسيژن طرح بوش ديناپارت کد 2220608101 مناسب برای پژو 206 تيپ 5 يورو 2 ","سنسور اكسيژن پژو 206 تيپ 5 يورو 2 طرح بوش ديناپارت با کیفیت مطلوب و بسته بندی مناسب در بازار عرضه می‌گردد. شرکت بازرگانی دینا پارت که خود شامل چندین برند بوده، دارای تاییدیه‌های PSA فرانسه و گواهی نامه ISO 9001:2008 از شرکت IMQ ایتالیا می‌باشد. این گروه با تمام توان خود و بر اساس اهداف اولیه و سیاست اجرائی گروه در جهت ارائه قطعات یدکی با کیفیت در بازار و جلب رضایت مصرف کننده نهائی با شعار &amp;#34;از هر گذر آسوده بگذر&amp;#34;، ارائه خدمات می‌نماید. 
",719,2020-07-07 12:30:03.0000000
10140344,1,marketable,approved,77,برچسب پوششی ماهوت مدل Silence of the Lambs-FullSkin مناسب برای گوشی موبایل شیائومی Redmi Note 9 4G,طرح فیلم سکوت بره ها از مجموعه طرح های محصولات ماهوت. فیلم سکوت بره ها داستانی در ژانر وحشت روایتی از یک کاآموز در اف بی آی را روایت می کند که به دنبال گیر انداختن یک قاتل زنجیره ای از قاتلی دیگری کمک می گیرد که در روانپزشکی بستری است. بنابراین این فیلم جنبه روانشناختی نیز دارد. در توضیح ساختار فنی فول اسکین طرح می‌توان گفت تصویر بر روی لایه اولِ برپوش، مستقیما با یک تکنیک منحصربفرد چاپ می‌شود. همچنین بخش چسبنده دارای تکنولوژی Bubble Free است که نصب را آسان و چسبندگی را حداکثر می‌کند و هیچ اثری از چسب، بر روی گوشی هوشمند باقی نمی‌گذارد. در لایه دوم یک ورق لمینت گرم، با دستگا‌ه‌های مخصوص در دمای بالا بر روی لایه اول اعمال می شود تا مقاومت در برابر مواد شیمیایی و خط و خش حداکثر شود. این محصول نوعي استيكر(برچسب) چندلايه است و به منظور پوشش تمامی وجوه گوشي هوشمند ساخته شده است و كناره‌هاي دستگاه را هم پوشش مي‌دهد.هدف استفاده از آن ايجاد طرح، رنگ و احساسي نو براي دستگاه هوشمند است، در حالي كه زبان طراحي و ظرافت گوشي هوشمند حفظ شود. لازم به ذکر است که فول اسکین با وجود چسبندگي بالا هيچي اثري از خود هنگام جدا شدن برجاي نمي‌گذارد. همچنین جنس فول اسکین از پليكربنات است و اين ماده تاثير قابل توجهي بر روي آنتن دهي و يا دفع حرارت گوشي هوشمند نخواهد داشت. نصب این محصول دشوار است و نیاز به دقت و تمرین دارد به همین منظور درون جعبه یک عدد فول اسکین آزمایشی برای تمرین نصب قرار دارد.,5288,2022-12-13 14:55:24.0000000
